Date,Time_of_Purchase,Branch,City,Region,Product_Line,Customer_Type,Sales_Channel,Quantity,Unit_Price,Discount,Revenue,Profit,Payment_Method,Customer_Rating
2023-03-30,13:20:09,A,New York,East,Clothing,Member,In-store,3,568.58,0.24,1296.3624000000002,338.22,Cash,8.8
2024-02-12,18:58:06,A,New York,East,Sports,Normal,Online,8,14.14,0.08,104.0704,25.57,Gift Card,4.7
2023-08-25,10:25:43,B,Chicago,Midwest,Clothing,Normal,Online,6,261.8,0.06,1476.5520000000001,226.49,Gift Card,6.1
2024-07-03,18:29:06,A,New York,East,Health & Beauty,Member,In-store,5,363.62,0.18,1490.842,236.94,Debit Card,7.1
2024-02-21,21:15:31,B,Chicago,Midwest,Electronics,Normal,Online,5,448.16,0.13,1949.496,169.64,Credit Card,8.6
2023-12-27,19:27:26,A,New York,East,Clothing,Member,In-store,9,403.22,0.03,3520.1106000000004,643.14,Debit Card,8.9
2023-04-02,15:54:41,B,Chicago,Midwest,Health & Beauty,Member,In-store,5,582.54,0.06,2737.9379999999996,695.77,UPI,6.4
2023-05-17,09:58:25,C,San Francisco,West,Sports,Normal,Online,8,581.63,0.15,3955.084,873.43,Cash,7.9
2023-03-18,11:16:26,B,Chicago,Midwest,Health & Beauty,Member,In-store,2,147.81,0.18,242.40840000000003,51.58,Gift Card,5.4
2024-03-15,15:58:57,C,San Francisco,West,Clothing,Normal,In-store,9,54.86,0.18,404.8668,42.11,Gift Card,8.5
2023-11-19,14:24:39,A,New York,East,Clothing,Normal,In-store,5,357.93,0.05,1700.1675,216.43,UPI,6.8
2023-02-22,11:50:38,A,New York,East,Health & Beauty,Member,Online,5,75.83,0.19,307.1115,54.24,Credit Card,9.7
2024-04-27,14:04:52,C,San Francisco,West,Health & Beauty,Normal,In-store,6,89.16,0.19,433.3176000000001,106.86,Credit Card,8.0
2024-12-23,17:00:21,A,New York,East,Home & Kitchen,Member,Online,3,22.76,0.2,54.624,12.52,Cash,6.3
2025-02-07,16:02:21,B,Chicago,Midwest,Home & Kitchen,Member,In-store,6,188.14,0.09,1027.2444,283.93,Debit Card,7.1
2025-11-04,14:13:30,B,Chicago,Midwest,Health & Beauty,Member,Online,9,58.2,0.02,513.3240000000001,87.77,Gift Card,6.7
2024-05-31,18:27:22,B,Chicago,Midwest,Health & Beauty,Member,Online,2,424.95,0.12,747.912,178.82,UPI,7.2
2025-04-14,10:48:44,A,New York,East,Electronics,Normal,Online,3,157.79,0.07,440.23409999999996,122.61,Cash,4.1
2024-01-23,18:00:08,A,New York,East,Clothing,Normal,Online,3,441.92,0.23,1020.8352,104.84,Cash,4.3
2023-09-29,20:11:29,B,Chicago,Midwest,Home & Kitchen,Normal,Online,6,402.47,0.07,2245.7826,496.48,Gift Card,8.4
2023-06-04,17:35:59,C,San Francisco,West,Health & Beauty,Member,In-store,4,8.96,0.01,35.4816,8.08,Credit Card,9.0
2024-08-23,17:57:09,C,San Francisco,West,Clothing,Normal,Online,9,499.98,0.17,3734.8505999999998,494.28,Cash,6.1
2024-01-22,19:14:13,C,San Francisco,West,Home & Kitchen,Normal,Online,8,290.96,0.06,2188.0191999999997,589.21,Gift Card,6.9
2024-09-22,10:23:41,C,San Francisco,West,Health & Beauty,Normal,Online,2,70.48,0.05,133.912,30.4,Gift Card,8.3
2024-04-19,20:02:22,B,Chicago,Midwest,Clothing,Normal,In-store,9,234.08,0.1,1896.0480000000002,298.49,Credit Card,5.1
2025-12-10,14:11:40,B,Chicago,Midwest,Home & Kitchen,Normal,In-store,7,170.68,0.09,1087.2316,260.23,UPI,9.8
2023-01-04,09:46:04,C,San Francisco,West,Home & Kitchen,Normal,Online,3,532.03,0.22,1244.9502,300.49,Cash,8.7
2024-10-06,14:23:12,B,Chicago,Midwest,Sports,Member,In-store,1,272.06,0.18,223.0892,46.37,Credit Card,5.4
2025-06-01,20:27:47,A,New York,East,Health & Beauty,Normal,Online,5,370.2,0.23,1425.27,317.95,Gift Card,5.9
2025-01-19,12:19:00,B,Chicago,Midwest,Health & Beauty,Normal,Online,5,582.94,0.15,2477.4950000000003,653.08,Credit Card,5.8
2025-09-18,16:21:51,C,San Francisco,West,Health & Beauty,Normal,In-store,9,91.63,0.21,651.4893,66.86,Credit Card,4.7
2025-12-22,14:33:47,B,Chicago,Midwest,Electronics,Member,In-store,7,63.8,0.2,357.28,70.57,Credit Card,5.5
2024-09-26,16:45:49,C,San Francisco,West,Electronics,Normal,In-store,1,215.21,0.07,200.1453,34.61,Gift Card,5.8
2023-03-17,12:00:41,A,New York,East,Sports,Normal,In-store,7,172.36,0.08,1109.9984,100.89,Debit Card,5.8
2024-09-25,21:10:19,B,Chicago,Midwest,Home & Kitchen,Normal,In-store,3,102.94,0.1,277.938,31.84,Gift Card,4.2
2024-10-20,18:58:00,B,Chicago,Midwest,Clothing,Member,In-store,6,18.75,0.16,94.5,15.82,Debit Card,4.7
2025-05-23,21:29:01,C,San Francisco,West,Health & Beauty,Normal,In-store,8,517.21,0.1,3723.9120000000003,404.03,Cash,5.6
2025-07-15,20:47:41,C,San Francisco,West,Sports,Normal,Online,5,206.02,0.1,927.0900000000001,164.66,Credit Card,8.8
2024-09-28,19:37:07,C,San Francisco,West,Sports,Normal,In-store,5,222.95,0.05,1059.0125,162.69,Credit Card,4.9
2024-01-21,19:37:45,C,San Francisco,West,Sports,Normal,Online,2,525.19,0.1,945.3420000000001,197.28,UPI,8.3
2025-01-16,19:32:06,A,New York,East,Health & Beauty,Normal,In-store,8,264.81,0.01,2097.2952,455.26,Credit Card,7.5
2023-09-09,09:04:30,C,San Francisco,West,Health & Beauty,Member,In-store,3,397.73,0.21,942.6201000000001,131.73,Credit Card,5.7
2025-08-18,16:26:50,A,New York,East,Electronics,Normal,Online,9,140.3,0.12,1111.1760000000002,186.77,Credit Card,7.0
2023-06-07,18:45:17,C,San Francisco,West,Home & Kitchen,Normal,In-store,4,283.64,0.22,884.9568,102.4,Cash,5.5
2023-05-07,09:15:20,C,San Francisco,West,Sports,Normal,In-store,7,200.52,0.18,1150.9848000000002,266.71,UPI,8.4
2025-07-22,12:23:22,A,New York,East,Home & Kitchen,Normal,In-store,8,219.12,0.16,1472.4864,168.31,Cash,6.9
2023-01-03,21:59:07,A,New York,East,Sports,Normal,Online,3,273.16,0.14,704.7528,107.92,Cash,6.0
2025-09-23,18:31:43,B,Chicago,Midwest,Clothing,Normal,In-store,2,526.94,0.08,969.5696000000002,93.56,Debit Card,7.4
2023-10-28,15:22:56,A,New York,East,Electronics,Normal,In-store,2,592.56,0.09,1078.4592,285.28,Debit Card,9.8
2024-04-13,13:33:50,B,Chicago,Midwest,Sports,Member,In-store,6,509.03,0.2,2443.344,282.71,Cash,6.3
2025-01-02,15:02:33,C,San Francisco,West,Health & Beauty,Member,In-store,3,469.93,0.07,1311.1046999999999,182.51,Gift Card,9.8
2023-01-22,15:28:49,B,Chicago,Midwest,Health & Beauty,Member,In-store,9,192.07,0.12,1521.1943999999999,328.82,Debit Card,6.4
2023-04-17,09:09:00,C,San Francisco,West,Clothing,Normal,Online,9,552.92,0.21,3931.2612,926.09,UPI,9.8
2023-05-20,15:15:09,C,San Francisco,West,Electronics,Normal,Online,7,176.15,0.09,1122.0755,153.56,Cash,9.3
2023-12-03,13:36:17,B,Chicago,Midwest,Health & Beauty,Member,In-store,9,144.62,0.22,1015.2324,240.38,Debit Card,5.6
2023-12-04,14:28:20,A,New York,East,Clothing,Member,In-store,5,540.46,0.21,2134.8170000000005,329.72,Debit Card,6.9
2024-07-04,13:03:51,A,New York,East,Home & Kitchen,Member,In-store,4,106.69,0.25,320.07,59.02,Cash,8.6
2025-01-18,17:29:21,B,Chicago,Midwest,Electronics,Normal,Online,7,90.84,0.03,616.8036,62.48,Cash,4.7
2025-08-11,12:00:29,B,Chicago,Midwest,Sports,Member,Online,4,521.31,0.05,1980.9779999999996,252.52,Credit Card,9.3
2023-05-03,14:59:00,B,Chicago,Midwest,Sports,Normal,Online,4,456.05,0.06,1714.748,403.95,Gift Card,7.8
2025-01-19,14:22:12,C,San Francisco,West,Sports,Normal,Online,5,137.73,0.15,585.3525,160.07,Debit Card,9.5
2023-08-28,09:44:42,A,New York,East,Electronics,Normal,Online,2,471.02,0.11,838.4155999999999,213.13,Cash,5.6
2023-11-01,14:05:53,A,New York,East,Home & Kitchen,Member,In-store,5,380.42,0.05,1806.9950000000001,450.76,Debit Card,9.0
2024-02-05,17:13:13,C,San Francisco,West,Clothing,Member,In-store,3,405.86,0.24,925.3607999999999,151.76,Debit Card,6.0
2025-01-21,09:57:49,B,Chicago,Midwest,Sports,Normal,Online,3,557.41,0.07,1555.1739,278.44,UPI,7.5
2025-05-01,16:03:25,B,Chicago,Midwest,Home & Kitchen,Normal,In-store,6,239.23,0.08,1320.5496,171.0,Debit Card,6.4
2025-10-05,19:10:36,C,San Francisco,West,Sports,Member,In-store,1,301.83,0.09,274.6653,42.33,Debit Card,5.8
2024-10-23,19:33:24,A,New York,East,Home & Kitchen,Member,In-store,1,28.24,0.19,22.8744,2.77,Gift Card,5.5
2025-02-11,16:00:01,C,San Francisco,West,Electronics,Normal,In-store,4,351.02,0.21,1109.2232,212.76,UPI,5.0
2025-09-09,15:07:10,C,San Francisco,West,Clothing,Normal,Online,4,544.75,0.03,2113.63,276.21,UPI,9.5
2023-05-23,21:27:23,C,San Francisco,West,Electronics,Normal,In-store,7,504.3,0.12,3106.488,736.43,Debit Card,6.4
2023-05-07,14:02:56,B,Chicago,Midwest,Sports,Member,In-store,9,207.35,0.15,1586.2274999999997,285.15,UPI,5.8
2025-03-29,12:58:59,B,Chicago,Midwest,Home & Kitchen,Normal,Online,3,366.86,0.07,1023.5393999999999,134.15,Cash,4.2
2024-05-28,10:54:55,C,San Francisco,West,Home & Kitchen,Member,Online,2,447.97,0.08,824.2648,217.26,UPI,4.4
2025-05-26,19:07:13,C,San Francisco,West,Health & Beauty,Member,Online,2,252.69,0.12,444.7344,92.81,UPI,8.5
2025-09-29,12:03:29,A,New York,East,Clothing,Normal,Online,2,247.71,0.19,401.2902,97.67,UPI,4.8
2025-09-21,20:57:25,A,New York,East,Electronics,Member,Online,7,50.66,0.01,351.0738,31.62,Gift Card,6.4
2025-04-01,21:53:34,A,New York,East,Home & Kitchen,Normal,Online,3,419.16,0.1,1131.732,313.76,UPI,5.8
2024-08-06,17:46:58,A,New York,East,Clothing,Normal,In-store,4,223.41,0.23,688.1028,170.57,Cash,7.8
2024-04-22,14:26:56,A,New York,East,Electronics,Normal,In-store,5,318.33,0.09,1448.4015,148.54,Gift Card,8.0
2023-06-09,13:10:19,C,San Francisco,West,Sports,Member,Online,3,515.99,0.22,1207.4166,121.66,Debit Card,4.5
2024-10-08,12:52:35,C,San Francisco,West,Electronics,Normal,In-store,5,182.54,0.01,903.573,154.21,Credit Card,6.5
2024-09-10,17:30:52,C,San Francisco,West,Health & Beauty,Member,In-store,3,377.49,0.08,1041.8724,143.9,UPI,7.0
2023-07-04,12:06:39,A,New York,East,Health & Beauty,Member,Online,8,530.44,0.12,3734.2976000000003,1011.34,Cash,7.9
2024-06-08,16:11:03,B,Chicago,Midwest,Home & Kitchen,Normal,In-store,9,473.22,0.16,3577.5432,679.39,Cash,6.1
2025-12-23,15:01:54,B,Chicago,Midwest,Sports,Member,In-store,8,595.38,0.21,3762.8016000000002,327.34,Credit Card,5.4
2023-09-15,17:11:07,B,Chicago,Midwest,Clothing,Normal,Online,5,105.55,0.16,443.31,40.13,Debit Card,6.9
2024-02-16,11:58:14,B,Chicago,Midwest,Electronics,Member,In-store,4,498.4,0.17,1654.6879999999999,297.98,Debit Card,7.4
2023-03-13,12:57:49,C,San Francisco,West,Home & Kitchen,Normal,In-store,4,179.29,0.14,616.7575999999999,104.67,Cash,7.5
2023-08-04,16:34:59,A,New York,East,Electronics,Member,In-store,6,323.46,0.08,1785.4992,252.59,Cash,4.6
2025-06-25,21:35:57,C,San Francisco,West,Sports,Normal,Online,9,13.25,0.08,109.71000000000001,12.06,Gift Card,4.7
2023-03-31,14:15:52,A,New York,East,Health & Beauty,Normal,Online,8,591.13,0.2,3783.232,321.87,Credit Card,4.1
2024-10-12,13:44:55,B,Chicago,Midwest,Home & Kitchen,Member,In-store,7,133.32,0.13,811.9188,181.03,Cash,4.2
2023-07-04,19:48:49,B,Chicago,Midwest,Health & Beauty,Member,Online,9,103.06,0.17,769.8581999999999,195.58,Cash,7.9
2023-07-11,12:22:30,C,San Francisco,West,Sports,Normal,In-store,2,559.58,0.08,1029.6272000000001,283.54,Credit Card,6.2
2023-10-27,14:48:39,A,New York,East,Electronics,Member,In-store,7,374.56,0.03,2543.2624,429.21,Credit Card,5.2
2024-08-26,13:33:10,B,Chicago,Midwest,Sports,Normal,In-store,6,64.0,0.07,357.12,64.56,Cash,8.8
2023-03-14,13:44:50,B,Chicago,Midwest,Electronics,Normal,Online,6,300.17,0.07,1674.9486,138.51,Credit Card,4.8
2025-12-19,14:48:09,B,Chicago,Midwest,Home & Kitchen,Member,In-store,3,145.69,0.18,358.3974,38.85,UPI,4.6
2025-03-30,12:27:23,A,New York,East,Health & Beauty,Normal,In-store,8,599.79,0.19,3886.6392,324.13,Credit Card,5.2
2025-09-12,18:26:53,C,San Francisco,West,Home & Kitchen,Member,In-store,9,413.95,0.06,3502.0169999999994,943.94,UPI,4.3
2024-07-16,17:22:14,C,San Francisco,West,Sports,Member,Online,8,457.09,0.07,3400.7495999999996,791.92,Gift Card,9.0
2025-08-15,16:14:35,B,Chicago,Midwest,Sports,Member,In-store,9,104.15,0.17,778.0005,124.05,UPI,5.0
2023-07-22,19:43:49,C,San Francisco,West,Home & Kitchen,Member,Online,3,271.35,0.02,797.769,69.39,Credit Card,7.9
2024-03-02,09:21:34,B,Chicago,Midwest,Health & Beauty,Normal,Online,8,349.41,0.06,2627.5632,571.33,Credit Card,8.8
2024-12-20,10:14:25,A,New York,East,Home & Kitchen,Normal,Online,8,393.4,0.03,3052.7839999999997,333.74,UPI,9.0
2023-06-23,16:29:36,B,Chicago,Midwest,Clothing,Member,In-store,4,141.44,0.08,520.4992,68.37,UPI,5.5
2023-08-09,16:48:10,B,Chicago,Midwest,Health & Beauty,Normal,Online,9,296.1,0.19,2158.5690000000004,269.47,Cash,8.3
2025-07-28,15:25:58,B,Chicago,Midwest,Clothing,Member,In-store,8,373.01,0.06,2805.0352,296.93,Cash,9.5
2024-12-02,14:58:47,A,New York,East,Home & Kitchen,Member,In-store,1,101.86,0.24,77.4136,12.8,Cash,7.0
2023-06-02,21:28:21,C,San Francisco,West,Clothing,Member,Online,9,187.19,0.21,1330.9209,151.01,Debit Card,6.0
2024-02-12,12:49:49,C,San Francisco,West,Home & Kitchen,Member,In-store,5,409.19,0.17,1698.1385,168.08,Cash,6.4
2024-10-27,13:51:02,C,San Francisco,West,Home & Kitchen,Normal,In-store,3,546.47,0.02,1606.6218000000001,256.28,Cash,9.9
2024-08-06,16:19:11,C,San Francisco,West,Clothing,Member,Online,9,510.43,0.13,3996.6668999999997,1092.7,Cash,6.4
2024-02-07,14:28:59,B,Chicago,Midwest,Electronics,Normal,Online,9,588.75,0.19,4291.9875,838.66,UPI,4.2
2025-08-23,14:15:05,B,Chicago,Midwest,Health & Beauty,Normal,Online,3,85.4,0.13,222.89400000000003,43.25,Gift Card,5.7
2023-09-06,11:36:54,A,New York,East,Home & Kitchen,Normal,In-store,6,391.61,0.12,2067.7008,396.61,Credit Card,4.3
2024-11-16,12:17:39,A,New York,East,Electronics,Member,Online,8,278.77,0.06,2096.3504,426.16,Cash,7.2
2023-08-15,18:18:58,B,Chicago,Midwest,Home & Kitchen,Member,In-store,9,192.9,0.04,1666.6560000000002,234.18,Gift Card,4.9
2024-04-07,20:42:50,B,Chicago,Midwest,Sports,Member,Online,7,519.95,0.21,2875.3235000000004,571.35,Gift Card,5.0
2025-10-02,10:03:58,B,Chicago,Midwest,Home & Kitchen,Member,Online,2,423.87,0.13,737.5338,83.13,Credit Card,6.8
2025-07-15,20:18:33,B,Chicago,Midwest,Electronics,Normal,Online,7,442.39,0.02,3034.7954,432.23,UPI,8.2
2024-09-27,18:00:43,A,New York,East,Home & Kitchen,Normal,Online,7,408.6,0.15,2431.17,659.8,Gift Card,7.4
2025-02-18,18:11:04,B,Chicago,Midwest,Sports,Normal,Online,8,149.86,0.0,1198.88,313.1,Debit Card,5.5
2023-10-17,21:01:04,B,Chicago,Midwest,Clothing,Normal,In-store,9,325.03,0.12,2574.2375999999995,461.93,Gift Card,9.4
2024-08-25,10:16:00,A,New York,East,Health & Beauty,Normal,In-store,7,126.69,0.16,744.9372,146.79,Credit Card,6.3
2023-04-17,12:20:39,B,Chicago,Midwest,Health & Beauty,Member,In-store,1,448.21,0.08,412.3532,60.05,Gift Card,7.5
2023-10-12,11:23:01,B,Chicago,Midwest,Health & Beauty,Member,Online,8,428.17,0.11,3048.5704,319.5,Gift Card,9.6
2024-04-08,14:25:08,B,Chicago,Midwest,Clothing,Member,In-store,6,53.63,0.14,276.73080000000004,30.7,Credit Card,4.5
2023-07-10,20:26:45,C,San Francisco,West,Health & Beauty,Normal,In-store,5,89.61,0.05,425.6475,115.93,Debit Card,8.4
2023-01-11,19:13:50,C,San Francisco,West,Clothing,Normal,Online,1,500.13,0.04,480.1248,107.16,UPI,4.2
2023-06-03,20:36:14,B,Chicago,Midwest,Health & Beauty,Normal,Online,1,464.47,0.25,348.3525,78.24,Credit Card,8.6
2023-08-10,11:36:50,A,New York,East,Electronics,Normal,Online,6,422.79,0.0,2536.7400000000002,237.05,Debit Card,5.5
2025-11-22,15:43:37,B,Chicago,Midwest,Clothing,Member,Online,5,567.08,0.24,2154.904,549.27,Gift Card,9.8
2023-09-14,11:27:31,B,Chicago,Midwest,Clothing,Member,In-store,6,237.95,0.04,1370.5919999999999,280.07,Credit Card,9.1
2024-09-24,14:14:57,B,Chicago,Midwest,Electronics,Normal,In-store,8,514.08,0.16,3454.6176,337.96,Debit Card,9.8
2023-07-16,11:51:38,C,San Francisco,West,Clothing,Member,Online,5,56.77,0.03,275.3345,34.11,Cash,6.6
2023-12-07,11:28:23,B,Chicago,Midwest,Clothing,Member,Online,5,185.42,0.12,815.848,173.15,Cash,4.1
2025-04-24,12:37:22,A,New York,East,Health & Beauty,Normal,In-store,7,509.22,0.11,3172.4406,256.95,Credit Card,5.6
2025-04-09,12:01:10,B,Chicago,Midwest,Electronics,Member,Online,3,595.93,0.02,1752.0341999999998,408.94,UPI,8.7
2024-05-12,21:25:21,C,San Francisco,West,Health & Beauty,Member,In-store,7,265.9,0.03,1805.4609999999998,277.46,Debit Card,8.2
2025-07-21,13:48:02,C,San Francisco,West,Sports,Member,In-store,4,409.01,0.22,1276.1112,213.75,Gift Card,4.0
2024-10-18,12:33:51,C,San Francisco,West,Electronics,Normal,In-store,3,257.42,0.19,625.5306,89.31,UPI,9.6
2025-04-13,16:31:17,A,New York,East,Home & Kitchen,Normal,In-store,3,252.75,0.12,667.26,86.62,Gift Card,9.0
2025-07-08,14:30:58,A,New York,East,Health & Beauty,Normal,Online,3,401.86,0.12,1060.9104,163.25,Debit Card,7.4
2023-08-19,13:31:28,C,San Francisco,West,Electronics,Member,In-store,2,483.11,0.22,753.6516,123.95,UPI,5.8
2025-06-01,11:19:13,A,New York,East,Electronics,Member,In-store,9,271.6,0.11,2175.516,245.43,UPI,4.4
2024-01-02,20:22:34,B,Chicago,Midwest,Health & Beauty,Normal,Online,3,343.45,0.12,906.708,150.52,Debit Card,9.4
2023-04-27,17:40:21,C,San Francisco,West,Electronics,Member,In-store,4,26.8,0.18,87.90400000000001,17.49,Cash,4.4
2025-02-07,19:22:47,C,San Francisco,West,Sports,Normal,In-store,2,475.39,0.23,732.1006,125.9,UPI,8.3
2024-12-17,15:55:17,A,New York,East,Health & Beauty,Normal,In-store,1,385.0,0.24,292.6,44.45,Cash,5.1
2025-08-01,09:04:04,C,San Francisco,West,Clothing,Normal,In-store,3,573.16,0.09,1564.7268000000001,279.79,UPI,5.9
